MEMBER_NUMBER;PROGRAM_NAME;PARTNER_ALIAS;TRANSACTION_DATE;ACTIVITY_DATE;PARENT_SIGNATURE_CODE;PARENT_TRANSACTION_ID;TRANSACTION_PRODUCT_NAME;TRANSACTION_AMOUNT;TRANSACTION_TYPE;TRANSACTION_SUBTYPE;TRANSACTION_CHANNEL;TRANSACTION_COMMENTS;TRANSACTION_POINT_NAME;OWNER_LOGIN;EXTERNAL;EXTERNAL_PARTNER_ID
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131078923256;1-1O7VKILC;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131050862767;1-1O839M5Q;Product XXXXXXX Infinite AAAAAA XXXXXXX;3000;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131051146300;1-1O92ZHZH;Product XXXXXXX Infinite AAAAAA XXXXXXX;3000;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131076362922;1-1O8VEZ3M;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131079171294;1-1O8275SS;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131078311469;1-1O7VCDVU;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131030539119;1-1O7W6U44;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131080147032;1-1O83CWRX;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131079063791;1-1O7ZEKIY;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131046041623;1-1O92ZHLK;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131078675174;1-1O7VKIQ2;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131025420334;1-1O8UQY3P;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131087204137;1-1O7Y05AM;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131112321927;1-1O8DA200;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131056471368;1-1O92GUD0;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131050332024;1-1O8W480K;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131079465221;1-1O8V0FMQ;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131079676917;1-1O7ZFX9O;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131078932380;1-1O7ZEKQQ;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131052570127;1-1O82GS40;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131079208979;1-1O7UXPNA;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131056140828;1-1O7WM1II;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131025817478;1-1O8276SC;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131079295522;1-1O82AJ2W;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131081295283;1-1O92ZHQ7;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131051169931;1-1O823IT8;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131052287914;1-1O82084G;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131082793775;1-1O7VBWKH;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131079535654;1-1O8U8QNZ;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131078275954;1-1O7VKIUS;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131080090106;1-1O81NHWC;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131051033353;1-1O81YT5G;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131077473762;1-1O8U8QSM;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131078377382;1-1O7VKJ3Y;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131079168511;1-1O7ZEKV6;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131079709291;1-1O7ZJD3V;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131096385892;1-1O83EU72;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131050337835;1-1O8W47I2;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131025522232;1-1O83CX60;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131050883978;1-1O83CXFC;Product XXXXXXX Infinite AAAAAA XXXXXXX;3000;Accrual;Product;;;Milhas;;;
