OUTPUT LOG FILE NAME;1-1O8DDSVV_Product_recurrence_BR_2022052515245021_HandBack.log
OUTPUT CSV FILE NAME;1-1O8DDSVV_Product_recurrence_BR_2022052515245021_HandBack.csv
FILE PROCESSING START TIME;25/05/2022 15:51:21
FILE TOTAL LINES;19
FILE TOTAL LINES OK;0
FILE TOTAL LINES ERROR;19
FILE PROCESSING END TIME;25/05/2022 15:51:31
EIM PROCESSING START TIME;25/05/2022 13:51:36
EIM TOTAL IMPORT SUCCESS;0
EIM TOTAL IMPORT PARTIALLY SUCCESS;0
EIM TOTAL IMPORT ERRORS;0
EIM TOTAL IMPORT ERROR REQ. COLUMN;0
EIM TOTAL IMPORT ERROR DUP. RECORDS;0
EIM TOTAL IMPORT ERROR F. KEYS;0
EIM TOTAL IMPORT ERROR PICKLIST;0
EIM PROCESSING END TIME;25/05/2022 13:51:37
